SYMBOL,foldChange,log2FoldChange,AveExpr,t,B,PValue,PAdj,FDR,falsePos
PON3,32.2345241090736,5.01053477945852,-1.632963296164,6.45670323451778,1.32838271231114,1.571e-04,1.000e+00,0.00240973027838273,3
GRIK4,0.015707039387546,-5.99244491642614,-1.74797824277584,-6.45655913415414,1.30938351086529,1.571e-04,1.000e+00,0.00240973027838273,3
GLTP,0.419831344528419,-1.25211821289859,7.21295704874029,-6.45609810044765,1.05961035990459,1.572e-04,1.000e+00,0.00240973027838273,3
PKD1L2,0.02022112560437,-5.62799288300637,-0.470905627282366,-6.45542165021056,1.36598253956089,1.573e-04,1.000e+00,0.00240973027838273,3
SLC25A5P6,11.5388482746695,3.52842732655326,-0.0909824279388475,6.45099127761262,1.40068617830241,1.581e-04,1.000e+00,0.00241921835825734,3
EEF1A1P5,2.56341229813884,1.3580655397463,7.3563101887373,6.45028812809674,1.03753806719237,1.582e-04,1.000e+00,0.00241921835825734,3
MISP,0.126811832313269,-2.97923873093005,4.40361028257161,-6.44946966584091,1.26364287246898,1.584e-04,1.000e+00,0.00241929589759951,3
ABCD2,17.2054039228783,4.10478985680783,-2.65461823604433,6.4474992602947,1.25018745417381,1.587e-04,1.000e+00,0.0024211100751108,3
ADA,0.256687763609809,-1.96191357108237,5.53767257510292,-6.44721578010495,1.17309295816777,1.587e-04,1.000e+00,0.0024211100751108,3
UBE2E2,7.42327643912314,2.89205609508812,2.05273720170316,6.44511410438621,1.37023764506842,1.591e-04,1.000e+00,0.00242463634516722,3
PPFIBP2,0.116821507271747,-3.09762219072172,1.95762093830826,-6.44281199226462,1.38330572472558,1.595e-04,1.000e+00,0.00242870997398038,3
TSPAN4,0.176092933798434,-2.50559107656715,5.96252630748499,-6.44042305264349,1.14331330333858,1.599e-04,1.000e+00,0.00243241299695266,3
GNG11,8.95493425931276,3.16268284102066,3.54878796106344,6.43986663480663,1.29075324980345,1.600e-04,1.000e+00,0.00243241299695266,3
BLNK,45.7181806097624,5.51469608642092,-1.53753620748289,6.43651120785852,1.3095486189295,1.606e-04,1.000e+00,0.00243935462884183,3
MGAT3,0.0461183473209348,-4.43851537571419,1.42475307639281,-6.43493741532186,1.38989590589004,1.609e-04,1.000e+00,0.00244149419328716,3
SLCO3A1,29.8923959258563,4.90170663097402,-1.84825111640957,6.43295379576356,1.29163029434184,1.613e-04,1.000e+00,0.00244474879344223,3
SPP1,21.2493004514902,4.40934344193637,1.16272813778022,6.43092092302395,1.3851205729214,1.616e-04,1.000e+00,0.00244814444482355,3
BEX3,3.18115844124736,1.66955222874927,7.91346211873659,6.42692571604562,0.977415066565851,1.624e-04,1.000e+00,0.00245689046686725,3
TRPM8,44.5709867055199,5.47803299434822,0.0521057254645669,6.42529062045565,1.36803579931134,1.627e-04,1.000e+00,0.00245811961628838,3
EEF1A1P8,10.2936484106092,3.36368250675923,0.313793628732702,6.42491706055663,1.37917775564874,1.627e-04,1.000e+00,0.00245811961628838,3
IMPDH1P9,0.0591855496211281,-4.07861121045306,-2.74582406233462,-6.42119234387567,1.2274288872854,1.634e-04,1.000e+00,0.00246617325093316,3
XYLT1,19.7127565446606,4.30105762546694,-2.19361020029047,6.41829129824295,1.25754670485178,1.639e-04,1.000e+00,0.00247199700710542,3
CCDC136,0.234246882946624,-2.09389824438761,2.44777355889793,-6.41536648843566,1.32450226266675,1.645e-04,1.000e+00,0.0024777308412038,3
RGL1,14.8244168769376,3.88990345191524,2.00981726099616,6.41465449020184,1.34615418121583,1.646e-04,1.000e+00,0.0024777308412038,3
DLG1-AS1,0.0297838645548774,-5.06932522925869,-1.25993109422165,-6.41047401984588,1.29058325072107,1.654e-04,1.000e+00,0.00248517399347154,3
PRDX4,2.70240782056222,1.43424540830744,7.4116929129995,6.40921869098292,0.985847029639601,1.656e-04,1.000e+00,0.00248517399347154,3
FAM86C2P,0.056457488247517,-4.14669124400975,-1.94654792804946,-6.40920558811182,1.25790540122901,1.656e-04,1.000e+00,0.00248517399347154,3
ARHGAP27,0.282146753855884,-1.8254823436498,5.53850781466382,-6.40886307455107,1.1268494482095,1.656e-04,1.000e+00,0.00248517399347154,3
LINC00857,0.186437450828653,-2.4232364028258,2.25979369586669,-6.40725066132874,1.32699232729453,1.659e-04,1.000e+00,0.00248749950123685,3
LINC03026,13.9801874917731,3.80531180407263,-0.0130835626781462,6.40532227387701,1.35391416926505,1.663e-04,1.000e+00,0.00249070482211754,3
